E	I	E	I	E	I	E	I	E	I	E	I
V	nA	V	nA	V	nA	V	nA	V	nA	V	nA
	Sine 1 mHz		Sine 5 mHz		Sine 10 mHz		Sine 50 mHz		Sine 100 mHz		Sine 200 mHz
-0.42079	-106.3543										
											
-0.41964	-106.3508										
											
-0.41843	-106.3079										
											
-0.41715	-106.1209										
											
-0.41581	-105.7108										
											
-0.4144	-105.162										
											
-0.41292	-104.6314										
											
-0.41138	-103.9998										
											
-0.40978	-103.3693										
											
-0.40811	-102.7318										
											
-0.40637	-102.0689										
											
-0.40458	-101.4262										
											
-0.40271	-100.724										
											
-0.40079	-100.0056										
											
-0.3988	-99.25533										
											
-0.39675	-98.47813										
											
-0.39463	-97.66675										
											
-0.39245	-96.86486										
											
-0.39022	-96.04455										
											
-0.38792	-95.20762										
											
-0.38555	-94.31519										
											
-0.38313	-93.46596										
											
-0.38065	-92.58176										
											
-0.3781	-91.62547										
											
-0.3755	-90.69669										
											
-0.37284	-89.78607										
											
-0.37012	-88.81										
											
-0.36734	-87.84773										
											
-0.3645	-86.86629										
											
-0.3616	-85.84324										
											
-0.35865	-84.81948										
											
-0.35564	-83.77198										
											
-0.35258	-82.73408										
											
-0.34946	-81.68751										
											
-0.34628	-80.57333										
											
-0.34305	-79.46145										
											
-0.33976	-78.33206										
											
-0.33643	-77.17787										
											
-0.33303	-76.05464										
											
-0.32959	-74.91166										
											
-0.32609	-73.75559										
											
-0.32255	-72.55548										
											
-0.31895	-71.37601										
											
-0.3153	-70.16669										
											
-0.3116	-68.94532										
											
-0.30785	-67.68979										
											
-0.30405	-66.48265										
											
-0.30021	-65.24998										
											
-0.29632	-64.00201										
											
-0.29238	-62.76908										
											
-0.28839	-61.48433										
											
-0.28436	-60.23968										
											
-0.28029	-58.96531										
											
-0.27617	-57.68751										
											
-0.272	-56.38356										
											
-0.2678	-55.09897										
											
-0.26355	-53.77949										
											
-0.25926	-52.47886										
											
-0.25493	-51.17301										
											
-0.25056	-49.87359										
											
-0.24614	-48.56382										
											
-0.24169	-47.2616										
											
-0.23721	-45.93751										
											
-0.23268	-44.64633										
											
-0.22812	-43.36236										
											
-0.22352	-42.05399										
											
-0.21889	-40.73885										
											
-0.21422	-39.443										
											
-0.20952	-38.18935										
											
-0.20478	-36.90927										
											
-0.20001	-35.62958										
											
-0.19521	-34.34907										
											
-0.19038	-33.10226										
											
-0.18552	-31.86427										
											
-0.18064	-30.63124										
											
-0.17572	-29.3889										
											
-0.17077	-28.15737										
											
-0.1658	-26.9356										
											
-0.1608	-25.7256										
											
-0.15578	-24.5023										
											
-0.15073	-23.23643										
											
-0.14566	-21.95518										
											
-0.14056	-20.6925										
											
-0.13544	-19.49136										
											
-0.1303	-18.36324										
											
-0.12514	-17.30444										
											
-0.11997	-16.27263										
											
-0.11477	-15.27202										
											
-0.10955	-14.30305										
											
-0.10432	-13.37226										
											
-0.09907	-12.46329										
											
-0.0938	-11.57646										
											
-0.08852	-10.7373										
											
-0.08323	-9.90343										
											
-0.07792	-9.08334										
											
-0.0726	-8.30422										
											
-0.06727	-7.55673										
											
-0.06192	-6.83284										
											
-0.05657	-6.13934										
											
-0.05121	-5.46423										
											
-0.04584	-4.80417										
											
-0.04047	-4.16588										
											
-0.03508	-3.54537										
											
-0.0297	-2.94227										
											
-0.0243	-2.35885										
											
-0.01891	-1.79003										
											
-0.01351	-1.23508										
											
-0.0081	-0.69376										
											
-0.0027	-0.16436										
											
0.0027	0.35569										
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
