E	I	E	I	E	I	E	I	E	I
V	A	V	A	V	A	V	A	V	A
	1 mHz		9 mHz		81 mHz		95 mHz		112 mHz

-0.084	-1.39785E-9								
-0.086	-1.454E-9								
-0.088	-1.5074E-9								
-0.09	-1.55962E-9								
-0.092	-1.62661E-9								
-0.094	-1.69134E-9								
-0.096	-1.75989E-9								
-0.098	-1.83189E-9								
-0.1	-1.91355E-9								
-0.102	-2.00927E-9								
-0.104	-2.10464E-9								
-0.106	-2.20525E-9								
-0.108	-2.32387E-9								
-0.11	-2.67243E-9								
-0.112	-2.95115E-9								
-0.114	-3.12603E-9								
-0.116	-3.29649E-9								
-0.118	-3.46947E-9								
-0.12	-3.70502E-9								
-0.122	-3.93534E-9								
-0.124	-4.2268E-9								
-0.126	-4.52161E-9								
-0.128	-4.77159E-9								
-0.13	-5.02384E-9								
-0.132	-5.29444E-9								
-0.134	-5.57256E-9								
-0.136	-5.88441E-9								
-0.138	-6.21521E-9								
-0.14	-7.03585E-9								
-0.142	-7.35128E-9								
-0.144	-7.64585E-9								
-0.146	-7.87997E-9								
-0.148	-8.15153E-9								
-0.15	-8.42261E-9								
-0.152	-8.70204E-9								
-0.154	-8.98981E-9								
-0.156	-9.31156E-9								
-0.158	-9.63449E-9								
-0.16	-1.00402E-8								
-0.162	-1.08975E-8								
-0.164	-1.13226E-8								
-0.166	-1.15675E-8								
-0.168	-1.18543E-8								
-0.17	-1.21574E-8								
-0.172	-1.24524E-8								
-0.174	-1.27E-8								
-0.176	-1.30336E-8								
-0.178	-1.33252E-8								
-0.18	-1.36118E-8								
-0.182	-1.3926E-8								
-0.184	-1.42707E-8								
-0.186	-1.46149E-8								
-0.188	-1.53501E-8								
-0.19	-1.60631E-8								
-0.192	-1.77143E-8								
-0.194	-1.82616E-8								
-0.196	-1.87439E-8								
-0.198	-1.91903E-8								
-0.2	-1.96694E-8								
-0.202	-2.01126E-8								
-0.204	-2.05413E-8								
-0.206	-2.09703E-8								
-0.208	-2.14223E-8								
-0.21	-2.1862E-8								
-0.212	-2.23303E-8								
-0.214	-2.27653E-8								
-0.216	-2.32621E-8								
-0.218	-2.36968E-8								
-0.22	-2.41969E-8								
-0.222	-2.46372E-8								
-0.224	-2.50813E-8								
-0.226	-2.5594E-8								
-0.228	-2.60372E-8								
-0.23	-2.64927E-8								
-0.232	-2.69866E-8								
-0.234	-2.7503E-8								
-0.236	-2.79965E-8								
-0.238	-2.84719E-8								
-0.24	-2.89266E-8								
-0.242	-2.94149E-8								
-0.244	-2.99188E-8								
-0.246	-3.04499E-8								
-0.248	-3.08858E-8								
-0.25	-3.14066E-8								
-0.252	-3.18965E-8								
-0.254	-3.24212E-8								
-0.256	-3.30112E-8								
-0.258	-3.35729E-8								
-0.26	-3.41742E-8								
-0.262	-3.47528E-8								
-0.264	-3.53072E-8								
-0.266	-3.59882E-8								
-0.268	-3.66012E-8								
-0.27	-3.71597E-8								
-0.272	-3.77358E-8								
-0.274	-3.83124E-8								
-0.276	-3.88849E-8								
-0.278	-3.94319E-8								
-0.28	-3.99885E-8								
-0.282	-4.05732E-8								
-0.284	-4.11453E-8								
-0.286	-4.17277E-8								
-0.288	-4.23329E-8								
-0.29	-4.28363E-8								
-0.292	-4.33595E-8								
-0.294	-4.38896E-8								
-0.296	-4.45178E-8								
-0.298	-4.50487E-8								
-0.3	-4.55936E-8								
-0.302	-4.61829E-8								
-0.304	-4.66622E-8								
-0.306	-4.72385E-8								
-0.308	-4.77215E-8								
-0.31	-4.83533E-8								
-0.312	-4.88356E-8								
-0.314	-4.9402E-8								
-0.316	-4.98933E-8								
-0.318	-5.04291E-8								
-0.32	-5.1083E-8								
-0.322	-5.1667E-8								
-0.324	-5.21371E-8								
-0.326	-5.28063E-8								
-0.328	-5.33394E-8								
-0.33	-5.39002E-8								
-0.332	-5.44567E-8								
-0.334	-5.49955E-8								
-0.336	-5.56436E-8								
-0.338	-5.6191E-8								
-0.34	-5.67824E-8								
-0.342	-5.73874E-8								
-0.344	-5.79871E-8								
-0.346	-5.84844E-8								
-0.348	-5.90845E-8								
-0.35	-5.95903E-8								
-0.352	-6.04954E-8								
-0.354	-6.11861E-8								
-0.356	-6.16547E-8								
-0.358	-6.2408E-8								
-0.36	-6.30108E-8								
-0.362	-6.35408E-8								
-0.364	-6.40998E-8								
-0.366	-6.48031E-8								
-0.368	-6.52703E-8								
-0.37	-6.60202E-8								
-0.372	-6.65411E-8								
-0.374	-6.72324E-8								
-0.376	-6.78319E-8								
-0.378	-6.84779E-8								
-0.38	-6.91326E-8								
-0.382	-6.97454E-8								
-0.384	-6.85473E-8								
-0.386	-6.89161E-8								
-0.388	-6.93754E-8								
-0.39	-6.98129E-8								
-0.392	-7.02735E-8								
-0.394	-7.07849E-8								
-0.396	-7.13521E-8								
-0.398	-7.18876E-8								
-0.4	-7.2486E-8								
-0.4	-7.24469E-8								
-0.398	-7.18478E-8								
-0.396	-7.1234E-8								
-0.394	-7.05414E-8								
-0.392	-6.99801E-8								
-0.39	-6.93229E-8								
-0.388	-6.87786E-8								
-0.386	-6.80971E-8								
-0.384	-6.74013E-8								
-0.382	-6.67911E-8								
-0.38	-6.61969E-8								
-0.378	-6.55642E-8								
-0.376	-6.48737E-8								
-0.374	-6.42188E-8								
-0.372	-6.35133E-8								
-0.37	-6.29859E-8								
-0.368	-6.2247E-8								
-0.366	-6.16207E-8								
-0.364	-6.10125E-8								
-0.362	-6.03853E-8								
-0.36	-5.98835E-8								
-0.358	-5.92257E-8								
-0.356	-5.85973E-8								
-0.354	-5.80915E-8								
-0.352	-5.75517E-8								
-0.35	-5.69842E-8								
-0.348	-5.64709E-8								
-0.346	-5.58434E-8								
-0.344	-5.52833E-8								
-0.342	-5.467E-8								
-0.34	-5.41046E-8								
-0.338	-5.36082E-8								
-0.336	-5.29827E-8								
-0.334	-5.24321E-8								
-0.332	-5.19084E-8								
-0.33	-5.14147E-8								
-0.328	-5.07966E-8								
-0.326	-5.02725E-8								
-0.324	-4.96604E-8								
-0.322	-4.91383E-8								
-0.32	-4.85971E-8								
-0.318	-4.80126E-8								
-0.316	-4.7525E-8								
-0.314	-4.69818E-8								
-0.312	-4.64625E-8								
-0.31	-4.58522E-8								
-0.308	-4.53305E-8								
-0.306	-4.47828E-8								
-0.304	-4.42961E-8								
-0.302	-4.37739E-8								
-0.3	-4.32345E-8								
-0.298	-4.26794E-8								
-0.296	-4.21391E-8								
-0.294	-4.1616E-8								
-0.292	-4.11011E-8								
-0.29	-4.06308E-8								
-0.288	-4.01174E-8								
-0.286	-3.96303E-8								
-0.284	-3.91251E-8								
-0.282	-3.8648E-8								
-0.28	-3.8138E-8								
-0.278	-3.76171E-8								
-0.276	-3.72037E-8								
-0.274	-3.6671E-8								
-0.272	-3.6168E-8								
-0.27	-3.5705E-8								
-0.268	-3.52811E-8								
-0.266	-3.48575E-8								
-0.264	-3.44291E-8								
-0.262	-3.39758E-8								
-0.26	-3.35163E-8								
-0.258	-3.30776E-8								
-0.256	-3.26699E-8								
-0.254	-3.22452E-8								
-0.252	-3.18305E-8								
-0.25	-3.14028E-8								
-0.248	-3.1028E-8								
-0.246	-3.06076E-8								
-0.244	-3.02137E-8								
-0.242	-2.98157E-8								
-0.24	-2.9447E-8								
-0.238	-2.905E-8								
-0.236	-2.86918E-8								
-0.234	-2.82741E-8								
-0.232	-2.78674E-8								
-0.23	-2.74794E-8								
-0.228	-2.70907E-8								
-0.226	-2.67134E-8								
-0.224	-2.63461E-8								
-0.222	-2.59712E-8								
-0.22	-2.56149E-8								
-0.218	-2.52236E-8								
-0.216	-2.48789E-8								
-0.214	-2.44877E-8								
-0.212	-2.41352E-8								
-0.21	-2.37505E-8								
-0.208	-2.33828E-8								
-0.206	-2.30496E-8								
-0.204	-2.27174E-8								
-0.202	-2.23458E-8								
-0.2	-2.19932E-8								
-0.198	-2.16128E-8								
-0.196	-2.13124E-8								
-0.194	-2.09204E-8								
-0.192	-2.06026E-8								
-0.19	-2.02289E-8								
-0.188	-1.99156E-8								
-0.186	-1.95287E-8								
-0.184	-1.91884E-8								
-0.182	-1.88403E-8								
-0.18	-1.85308E-8								
-0.178	-1.81891E-8								
-0.176	-1.79073E-8								
-0.174	-1.76214E-8								
-0.172	-1.73345E-8								
-0.17	-1.69507E-8								
-0.168	-1.65918E-8								
-0.166	-1.6185E-8								
-0.164	-1.58359E-8								
-0.162	-1.54587E-8								
-0.16	-1.50847E-8								
-0.158	-1.46966E-8								
-0.156	-1.43696E-8								
-0.154	-1.4024E-8								
-0.152	-1.36671E-8								
-0.15	-1.33187E-8								
-0.148	-1.29684E-8								
-0.146	-1.262E-8								
-0.144	-1.22919E-8								
-0.142	-1.19209E-8								
-0.14	-1.16069E-8								
-0.138	-1.1284E-8								
-0.136	-1.09729E-8								
-0.134	-1.06423E-8								
-0.132	-1.03155E-8								
-0.13	-9.98247E-9								
-0.128	-9.65464E-9								
-0.126	-9.33588E-9								
-0.124	-9.01735E-9								
-0.122	-8.69954E-9								
